ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,AGE,EXPERIENCE,bad,LOG_INCOME,LOG_INCOME_PER_PERSON,DEPENDENCY_RATIO,EXPERIENCE_BIN,AGE_BIN,AGE_X_INCOME,EXP_X_INCOME,HIGH_INCOME_FLAG,INCOME_BIN,ADULTS,EXP_AGE_RATIO,STABILITY_SCORE,CHILD_BIN
5008804,1,1,1,0,3,1,0,4,1,1,0,0,2,32,12,0,12.965711906537503,6.482855953268752,0.0,3,1,414.9027810092001,155.58854287845003,0,3,2,0.3749999882812504,2.1,
5008805,1,1,1,0,3,1,0,4,1,1,0,0,2,32,12,0,12.965711906537503,6.482855953268752,0.0,3,1,414.9027810092001,155.58854287845003,0,3,2,0.3749999882812504,2.1,
5008806,1,1,1,0,3,4,1,1,1,0,0,0,2,58,3,0,11.630717389475995,5.815358694737998,0.0,1,3,674.5816085896078,34.892152168427984,0,0,2,0.05172413703923902,0.7,
5008808,0,0,1,0,0,4,3,1,1,0,1,1,1,52,8,0,12.506180941677357,12.506180941677357,0.0,2,3,650.3214089672226,100.04944753341886,0,3,1,0.15384615088757403,1.1,
5008809,0,0,1,0,0,4,3,1,1,0,1,1,1,52,8,0,12.506180941677357,12.506180941677357,0.0,2,3,650.3214089672226,100.04944753341886,0,3,1,0.15384615088757403,1.1,
5008810,0,0,1,0,0,4,3,1,1,0,1,1,1,52,8,0,12.506180941677357,12.506180941677357,0.0,2,3,650.3214089672226,100.04944753341886,0,3,1,0.15384615088757403,1.1,
5008811,0,0,1,0,0,4,3,1,1,0,1,1,1,52,8,0,12.506180941677357,12.506180941677357,0.0,2,3,650.3214089672226,100.04944753341886,0,3,1,0.15384615088757403,1.1,
5008812,0,0,1,0,1,1,2,1,1,0,0,0,1,61,0,0,12.554970929480584,12.554970929480584,0.0,0,3,765.8532266983157,0.0,0,3,1,0.0,0.3,
5008813,0,0,1,0,1,1,2,1,1,0,0,0,1,61,0,0,12.554970929480584,12.554970929480584,0.0,0,3,765.8532266983157,0.0,0,3,1,0.0,0.3,
5008814,0,0,1,0,1,1,2,1,1,0,0,0,1,61,0,0,12.554970929480584,12.554970929480584,0.0,0,3,765.8532266983157,0.0,0,3,1,0.0,0.3,
