iter	Logloss
0	0.6928950488
1	0.6910813851
2	0.6879086213
3	0.6859395677
4	0.6829427712
5	0.6809761919
6	0.6807088958
7	0.679950616
8	0.6747268732
9	0.6741400189
10	0.6684955665
11	0.6680759377
12	0.6670556671
13	0.6661676417
14	0.6651004156
15	0.6603251829
16	0.6568936922
17	0.6565801427
18	0.6564544877
19	0.6564539145
20	0.6556831992
21	0.653724899
22	0.6534016465
23	0.651066505
24	0.646595298
25	0.6464271936
26	0.6463674957
27	0.6460119896
28	0.6455042712
29	0.645382488
30	0.6449796886
31	0.6444162981
32	0.6438761379
33	0.6419474351
34	0.6413069909
35	0.6412243793
36	0.6410774204
37	0.6405249483
38	0.6387796569
39	0.6375717194
40	0.6375711318
41	0.63730003
42	0.6369424522
43	0.6364358271
44	0.6363078696
45	0.6362295268
46	0.6342644338
47	0.6341661425
48	0.6334951861
49	0.6329987777
50	0.6316281516
51	0.6315504442
52	0.6311164055
53	0.6304340927
54	0.6276650949
55	0.6273219727
56	0.6273215673
57	0.6273194999
58	0.6271976486
59	0.6266462241
60	0.6233975754
61	0.6233971334
62	0.6231985505
63	0.6221955016
64	0.6204458546
65	0.6201529219
66	0.6197696828
67	0.6191918598
68	0.6191366536
69	0.6168111687
70	0.6155344533
71	0.6150319685
72	0.6145954487
73	0.6126730635
74	0.6087698885
75	0.608352848
76	0.6057872526
77	0.6057688034
78	0.6040971194
79	0.6038783866
80	0.6038774002
81	0.6033203699
82	0.6016185017
83	0.6009558064
84	0.6006834275
85	0.6006405
86	0.600625343
87	0.5999182214
88	0.5998982035
89	0.5991623969
90	0.5983555232
91	0.5983550338
92	0.5980880695
93	0.597174516
94	0.597174112
95	0.5970570812
96	0.5970567271
97	0.596865514
98	0.5962914658
99	0.5962911248
100	0.5962791334
101	0.595527096
102	0.5955270745
103	0.5953806069
104	0.5952507534
105	0.5952414636
106	0.5950831389
107	0.5950770522
108	0.5948419378
109	0.5946877064
110	0.5913133235
111	0.5912148658
112	0.591214545
113	0.5910451672
114	0.5908516905
115	0.5908244884
116	0.5898966482
117	0.5896889817
118	0.5895683431
119	0.5895683351
120	0.5878059076
121	0.584177967
122	0.5817533889
123	0.5812684056
124	0.5808307416
125	0.5808227723
126	0.5808221162
127	0.579576198
128	0.5795337793
129	0.5795331233
130	0.5784335807
131	0.5772173065
132	0.5771495257
133	0.5765782363
134	0.5751951462
135	0.5747830307
136	0.5746061246
137	0.5742358282
138	0.5741245262
139	0.5740455789
140	0.572998102
141	0.5729975604
142	0.5726511749
143	0.5726506893
144	0.5726124437
145	0.5721415593
146	0.571990138
147	0.5703932819
148	0.5703397557
149	0.5699478825
150	0.5699228864
151	0.5698766062
152	0.5698605067
153	0.5697186373
154	0.5691543473
155	0.5691540101
156	0.5691363594
157	0.5686075809
158	0.5685615774
159	0.568561325
160	0.5683796463
161	0.5680305132
162	0.567826924
163	0.5676638549
164	0.5675530711
165	0.5671950247
166	0.5633178231
167	0.5624320926
168	0.562204414
169	0.5622040603
170	0.5620404555
171	0.5620401439
172	0.5620398507
173	0.5581015852
174	0.5566041834
175	0.5562015051
176	0.5560442816
177	0.5560436353
178	0.5560401231
179	0.5557043994
180	0.5555583838
181	0.55489039
182	0.5544510926
183	0.5544078912
184	0.5543850518
185	0.5542179338
186	0.5541766778
187	0.5541448824
188	0.5541444938
189	0.5541441281
190	0.5530531489
191	0.5530506716
192	0.5530116654
193	0.5530113089
194	0.5529475774
195	0.5529023062
196	0.5529020062
197	0.5525604346
198	0.5525560469
199	0.5525512655
200	0.5519283091
201	0.5519280856
202	0.5508840116
203	0.550879918
204	0.5508350602
205	0.5504913755
206	0.5502145552
207	0.5501567984
208	0.5500453166
209	0.5463386863
210	0.5462886804
211	0.5462878973
212	0.5427703224
213	0.5423724292
214	0.5423424331
215	0.5421747253
216	0.5414895526
217	0.5414890103
218	0.5414878431
219	0.5414872633
220	0.5414611329
221	0.5414607049
222	0.5414599022
223	0.5413679581
224	0.5413676035
225	0.5413588675
226	0.5413585524
227	0.5410943376
228	0.5410925483
229	0.5410281773
230	0.5410267729
231	0.5407720078
232	0.5407707307
233	0.5404390553
234	0.5404389008
235	0.5404160085
236	0.5393542343
237	0.5393367238
238	0.5388691819
239	0.5388689151
240	0.5362925651
241	0.5362523618
242	0.5360687331
243	0.5360301764
244	0.535119483
245	0.5331258006
246	0.5327265662
247	0.5327255868
248	0.5327220678
249	0.5326491028
250	0.5324680074
251	0.5324676674
252	0.5324559246
253	0.5324053703
254	0.5323810003
255	0.5323802856
256	0.5323650336
257	0.5320603907
258	0.5315221206
259	0.531507776
260	0.5305617347
261	0.5305262617
262	0.5305225796
263	0.5287862116
264	0.5287603666
265	0.5285383654
266	0.5285357923
267	0.528129776
268	0.5281075047
269	0.528107308
270	0.5281071229
271	0.527153406
272	0.5271531861
273	0.5271524128
274	0.5271421538
275	0.5270908764
276	0.5242084998
277	0.5235197144
278	0.5235185714
279	0.523383441
280	0.5233828115
281	0.5220849805
282	0.5219766873
283	0.5219138
284	0.5219107094
285	0.5218973964
286	0.5217384841
287	0.5217139264
288	0.5217009025
289	0.5216889562
290	0.521663405
291	0.5197869214
292	0.5197156402
293	0.5194074706
294	0.5193986672
295	0.5193984407
296	0.5193940543
297	0.5193871329
298	0.5193870366
299	0.5193868727
300	0.5191695286
301	0.5191693387
302	0.5181840208
303	0.5181826667
304	0.5181634701
305	0.5176928493
306	0.5176848785
307	0.5176847301
308	0.5176717867
309	0.5176373704
310	0.5172275805
311	0.5172274249
312	0.5172271933
313	0.5143852639
314	0.5136835637
315	0.513273135
316	0.513166925
317	0.5125086176
318	0.5123833154
319	0.512153702
320	0.5104617568
321	0.5072415151
322	0.5070135449
323	0.507012934
324	0.5047381914
325	0.5019347762
326	0.4995918976
327	0.4983706453
328	0.4983693716
329	0.4967919528
330	0.496790632
331	0.495591518
