iter	Passed	Remaining
0	72	108012
1	88	66166
2	104	52066
3	120	45124
4	138	41507
5	149	37113
6	157	33563
7	169	31668
8	186	30914
9	198	29637
10	216	29317
11	224	27866
12	243	27842
13	258	27398
14	277	27434
15	297	27575
16	317	27692
17	331	27253
18	341	26650
19	348	25774
20	372	26240
21	392	26371
22	399	25666
23	427	26278
24	449	26514
25	461	26189
26	471	25702
27	482	25369
28	498	25301
29	507	24869
30	522	24736
31	538	24710
32	553	24605
33	569	24551
34	579	24268
35	596	24247
36	606	23969
37	621	23921
38	638	23930
39	656	23952
40	661	23539
41	673	23382
42	684	23201
43	696	23061
44	707	22880
45	713	22560
46	731	22621
47	745	22561
48	772	22878
49	853	24747
50	877	24924
51	888	24752
52	896	24485
53	913	24466
54	933	24527
55	945	24385
56	951	24076
57	957	23798
58	970	23700
59	988	23715
60	1006	23732
61	1011	23469
62	1021	23306
63	1036	23256
64	1050	23198
65	1059	23016
66	1074	22974
67	1086	22881
68	1092	22657
69	1108	22645
70	1122	22592
71	1136	22547
72	1153	22539
73	1174	22632
74	1192	22650
75	1201	22514
76	1216	22473
77	1222	22285
78	1238	22270
79	1247	22144
80	1252	21942
81	1264	21872
82	1284	21927
83	1304	21981
84	1318	21941
85	1334	21937
86	1341	21793
87	1359	21805
88	1369	21708
89	1388	21751
90	1407	21797
91	1412	21620
92	1423	21537
93	1441	21557
94	1447	21406
95	1461	21374
96	1469	21254
97	1490	21329
98	1505	21306
99	1510	21150
100	1518	21037
101	1528	20947
102	1534	20806
103	1541	20692
104	1550	20599
105	1555	20455
106	1567	20411
107	1573	20284
108	1586	20246
109	1616	20420
110	1658	20751
111	1679	20809
112	1687	20716
113	1712	20823
114	1733	20882
115	1747	20846
116	1776	21004
117	1796	21043
118	1814	21059
119	1819	20927
120	1839	20965
121	1855	20959
122	1872	20966
123	1889	20962
124	1902	20931
125	1910	20837
126	1915	20711
127	1931	20703
128	1941	20634
129	1947	20518
130	1971	20600
131	1989	20614
132	2004	20599
133	2024	20634
134	2044	20674
135	2067	20733
136	2087	20770
137	2104	20772
138	2116	20727
139	2126	20653
140	2141	20636
141	2147	20539
142	2164	20543
143	2169	20433
144	2178	20360
145	2193	20347
146	2208	20330
147	2223	20312
148	2233	20255
149	2250	20251
150	2256	20161
151	2263	20077
152	2270	19992
153	2283	19956
154	2295	19917
155	2300	19819
156	2307	19741
157	2321	19720
158	2329	19649
159	2334	19548
160	2342	19477
161	2353	19440
162	2368	19426
163	2379	19387
164	2388	19321
165	2400	19290
166	2415	19281
167	2430	19267
168	2444	19255
169	2450	19168
170	2464	19153
171	2468	19062
172	2473	18974
173	2490	18978
174	2503	18955
175	2516	18931
176	2530	18917
177	2536	18839
178	2542	18765
179	2552	18717
180	2561	18663
181	2575	18650
182	2588	18630
183	2601	18605
184	2611	18559
185	2629	18575
186	2638	18527
187	2648	18481
188	2653	18403
189	2658	18332
190	2675	18332
191	2682	18274
192	2690	18223
193	2696	18153
194	2706	18111
195	2713	18053
196	2717	17976
197	2734	17981
198	2746	17955
